Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,218432,6276,150084.0,62072.0,4850,139,230861.0,5126.0,45035231
Angola,81593,1770,64533.0,15290.0,2372,51,1273800.0,37036.0,34393211
Benin,24935,161,24705.0,69.0,1979,13,604310.0,47970.0,12597689
Botswana,219509,2444,204811.0,12254.0,90608,1009,2026898.0,836655.0,2422621
Burkina Faso,17632,318,16619.0,695.0,810,15,239193.0,10992.0,21759662
Burundi,27366,38,773.0,26555.0,2203,3,345742.0,27838.0,12419778
Cabo Verde,41732,351,38291.0,3090.0,73859,621,392029.0,693827.0,565024
Cameroon,109367,1851,106050.0,1466.0,3972,67,1751774.0,63624.0,27533388
CAR,12163,101,6859.0,5203.0,2455,20,74519.0,15038.0,4955357
Chad,5701,181,4874.0,646.0,333,11,180347.0,10528.0,17129995
Comoros,6515,157,4709.0,1649.0,7261,175,,,897295
Congo,20089,367,12421.0,7301.0,3511,64,301494.0,52699.0,5721074
Djibouti,13656,189,13370.0,97.0,13528,187,258927.0,256492.0,1009494
DRC,74793,1205,50930.0,22658.0,799,13,846704.0,9043.0,93628356
Egypt,385575,21752,320563.0,43260.0,3664,207,3693367.0,35101.0,105220663
Equatorial Guinea,13710,175,13410.0,125.0,9315,119,263190.0,178820.0,1471815
Eritrea,8011,76,7746.0,189.0,2213,21,23693.0,6545.0,3619854
Eswatini,66109,1303,58767.0,6039.0,56113,1106,430321.0,365254.0,1178141
Ethiopia,420342,6937,355046.0,58359.0,3526,58,4112267.0,34493.0,119219377
Gabon,41798,288,37499.0,4011.0,18140,125,1488703.0,646074.0,2304231
Gambia,10170,343,9700.0,127.0,4039,136,132861.0,52762.0,2518100
Ghana,142986,1295,131473.0,10218.0,4462,40,2117923.0,66097.0,32042667
Guinea,32051,391,29823.0,1837.0,2345,29,571842.0,41847.0,13665037
Guinea-Bissau,6484,149,6302.0,33.0,3182,73,111394.0,54671.0,2037523
Ivory Coast,71004,714,61998.0,8292.0,2596,26,1233370.0,45088.0,27354475
Kenya,295028,5378,252281.0,37369.0,5312,97,3030272.0,54558.0,55541905
Lesotho,28408,665,15241.0,12502.0,13105,307,322581.0,148815.0,2167668
Liberia,6278,287,5535.0,456.0,1199,55,139824.0,26708.0,5235360
Libya,388734,5710,376278.0,6746.0,55446,814,2030092.0,289555.0,7011085
Madagascar,50279,1027,44708.0,4544.0,1749,36,320884.0,11159.0,28754808
Malawi,75075,2364,60145.0,12566.0,3779,119,487334.0,24528.0,19868632
Mali,21008,660,18735.0,1613.0,995,31,536074.0,25380.0,21122190
Mauritania,41473,866,39175.0,1432.0,8582,179,563459.0,116603.0,4832282
Mauritius,23493,762,21918.0,813.0,18427,598,358675.0,281330.0,1274928
Morocco,963092,14849,940193.0,8050.0,25638,395,10844159.0,288676.0,37565205
Mozambique,189080,2006,156570.0,30504.0,5806,62,1098922.0,33747.0,32563685
Namibia,147974,3633,131040.0,13301.0,56701,1392,869265.0,333087.0,2609721
Niger,7405,275,6926.0,204.0,290,11,203933.0,7993.0,25514702
Nigeria,241513,3030,214003.0,24480.0,1130,14,3823309.0,17885.0,213775190
Rwanda,111786,1350,45522.0,64914.0,8322,101,4010433.0,298572.0,13432051
Sao Tome and Principe,3897,57,3678.0,162.0,17301,253,29036.0,128909.0,225245
Senegal,75055,1890,72560.0,605.0,4313,109,919548.0,52838.0,17403248
Seychelles,24788,134,24033.0,621.0,249733,1350,,,99258
Sierra Leone,7064,123,,,859,15,259958.0,31627.0,8219525
Somalia,23532,1333,12948.0,9251.0,1421,81,391308.0,23636.0,16555680
South Africa,3458286,91145,3174037.0,193104.0,57230,1508,21231024.0,351347.0,60427541
South Sudan,15242,135,12934.0,2173.0,1338,12,297596.0,26128.0,11390103
Sudan,46518,3331,38714.0,4473.0,1025,73,562941.0,12405.0,45379547
Tanzania,29306,737,,,471,12,,,62276038
Togo,30163,248,26134.0,3781.0,3520,29,615334.0,71812.0,8568738
Tunisia,726706,25569,696315.0,4822.0,60540,2130,3373554.0,281043.0,12003688
Uganda,140737,3294,98397.0,39046.0,2938,69,2143822.0,44758.0,47898392
Zambia,254274,3734,219794.0,30746.0,13276,195,2959116.0,154498.0,19153152
Zimbabwe,213258,5004,180570.0,27684.0,14043,330,1842694.0,121337.0,15186601
